Record,Name,Price1L1,Tax Rate Link,PRICE NO VAT,PRICE WITHOUT MARK UP WITHOUT VAT
122,Knightor Portscatho,21.5,3,17.92,12.54
123,Dry Gin Refill Pouch,40,3,33.33,23.33
124,PLU,0,1,0.00,0.00
127,CP Orange,1.5,3,1.25,0.88
128,Jude's Custard (both),3.49,1,3.49,2.44
129,CK smoky garlic mayo,4.2,1,4.20,2.94
130,WOOL Firelighters,6.99,3,5.83,4.08
131,BTT Steak Pasty,3.99,1,3.99,2.79
132,BTT Cheese onion Pasty,3.99,1,3.99,2.79
133,BTT Steak Ale Mshr Pie,4.25,1,4.25,2.98
134,BTT Sausage Rolls,3.7,1,3.70,2.59
135,BTT Bac Ch Quiche,3.25,1,3.25,2.28
136,BTT Fudge Slice,1.99,1,1.99,1.39
137,BTT Millionaires Slice,1.99,1,1.99,1.39
138,BTT Carrot Cake,1.99,1,1.99,1.39
139,BTT Plain Scone,2.99,1,2.99,2.09
140,Mrs D Mint Sauce,2.85,1,2.85,2.00
141,PLU,0,1,0.00,0.00
142,PLU,3.5,3,2.92,2.04
143,Big Job,3.5,3,2.92,2.04
144,PLU,0,1,0.00,0.00
145,PLU,0,1,0.00,0.00
146,PLU,0,1,0.00,0.00
147,PLU,0,1,0.00,0.00
148,PLU,0,1,0.00,0.00
149,PLU,0,1,0.00,0.00
150,PLU,0,1,0.00,0.00
151,Unsmoked Bacon,2.99,1,2.99,2.09
152,JK Burgers,0,1,0.00,0.00
153,Hogs Pudding,0,1,0.00,0.00
154,PLU,0,1,0.00,0.00
155,Chicken Fillet (2),0,1,0.00,0.00
156,Ham,0,1,0.00,0.00
157,Smoked Bacon,0,1,0.00,0.00
158,Mince kittows,0,1,0.00,0.00
159,BBQ Pack ,9.95,1,9.95,6.97
160,PLU,0,1,0.00,0.00
161,Streaky Bacon,0,1,0.00,0.00
162,Steak Rump ,0,1,0.00,0.00
163,Whole Chicken,0,1,0.00,0.00
164,Spare Ribs BBQ Glazed,0,1,0.00,0.00
165,Cooked beef,0,1,0.00,0.00
166,Cooked turkey,0,1,0.00,0.00
167,Garlic Butter Chicken,0,1,0.00,0.00
169,Lamb Chops,0,1,0.00,0.00
170,Sausage meat,3.5,1,3.50,2.45
171,Gammon Steak,0,1,0.00,0.00
172,PLU,0,1,0.00,0.00
173,Steak and Ale Pie,3.35,1,3.35,2.35
174,Chicken and Ham Pie,3.35,1,3.35,2.35
175,Steak and Kidney Pie,2.99,1,2.99,2.09
176,Pigs in blankets (10),4.99,1,4.99,3.49
191,Chinese Chicken,0,1,0.00,0.00
192,BBC Veg Crisps,3.25,1,3.25,2.28
193,Candy Can Mallow Drink,1.19,3,0.99,0.69
194,WalnutTree Tray Nuts,11.99,1,11.99,8.39
195,Farmhouse Non Choc Biccy,2.15,1,2.15,1.51
196,MooFree Buttons,1.2,3,1.00,0.70
197,MooFree Choccy Rocks,1.75,3,1.46,1.02
198,PLU,0,1,0.00,0.00
199,PLU,0,1,0.00,0.00
200,PLU,0,1,0.00,0.00
201,Apple,3.3,1,3.30,2.31
202,Banana,2.31,1,2.31,1.62
203,PLU,0,1,0.00,0.00
204,Bolognese Seasoning,1.69,1,1.69,1.18
205,PLU,0,1,0.00,0.00
206,Large Orange,0.8,1,0.80,0.56
207,Raspberries,3.2,1,3.20,2.24
208, Peaches,0.95,1,0.95,0.67
209,Nectarines,0.95,1,0.95,0.67
210,PLU,0,1,0.00,0.00
211,Cherries ,1.6,1,1.60,1.12
212,Bramley apples ,3.15,1,3.15,2.21
213,Watermelons,3.99,1,3.99,2.79
214,Lemon,0.45,1,0.45,0.32
215,Lime,0.39,1,0.39,0.27
216,Pineapple,1.5,1,1.50,1.05
217,Grapes,3.5,1,3.50,2.45
218,Blueberries,2.5,1,2.50,1.75
219,Wreath Small,10.5,1,10.50,7.35
220,Pears,0.5,1,0.50,0.35
221,Oranges Whole,0.63,1,0.63,0.44
222,Honeydew Melon,1.99,1,1.99,1.39
223,Rhubarb,15.9,1,15.90,11.13
224,English Strawberries,3.75,1,3.75,2.63
225,Mango,1.99,1,1.99,1.39
226,Gammon Joint,0,1,0.00,0.00
227,1kg washed melody,1.2,1,1.20,0.84
228,PLU,0,1,0.00,0.00
229,PLU,0,1,0.00,0.00
230,PLU,0,1,0.00,0.00
231,PLU,0,1,0.00,0.00
232,PLU,0,1,0.00,0.00
233,PLU,0,1,0.00,0.00
234,PLU,0,1,0.00,0.00
235,PLU,0,1,0.00,0.00
236,PLU,0,1,0.00,0.00
237,PLU,0,1,0.00,0.00
238,PLU,0,1,0.00,0.00
239,PLU,0,1,0.00,0.00
240,PLU,0,1,0.00,0.00
241,PLU,0,1,0.00,0.00
242,Roast Potato Oil,5.85,1,5.85,4.10
243,PLU,0,1,0.00,0.00
244,PLU,0,1,0.00,0.00
245,Duck Pate,4.99,1,4.99,3.49
246,Farmhouse GF Choc Hznut ,1.79,1,1.79,1.25
247,PLU,0,1,0.00,0.00
248,PLU,0,1,0.00,0.00
249,DISCOUNTED Bananas,1,1,1.00,0.70
250,Strawberries Sweets,1.2,1,1.20,0.84
251,Ginger,5.1,1,5.10,3.57
252,Carrots,1.32,1,1.32,0.92
253,Cauliflower,1.5,1,1.50,1.05
254,Parsnip,3.75,1,3.75,2.63
255,White Onions,0.9,1,0.90,0.63
256,PLU,0,1,0.00,0.00
257,Swede,1.35,1,1.35,0.95
258,PLU,0,1,0.00,0.00
259,Broccoli,3.85,1,3.85,2.70
260,Butternut Squash,2.2,1,2.20,1.54
261,Pickling Vinegar,3.5,1,3.50,2.45
262,PLU,0,1,0.00,0.00
263,White Cabbage,1.57,1,1.57,1.10
264,Leeks,2.89,1,2.89,2.02
265,PLU,0,1,0.00,0.00
266,Garlic,0.6,1,0.60,0.42
267,Red Cabbage,1.27,1,1.27,0.89
268,Red Onions,2.4,1,2.40,1.68
269,Courgettes,3.75,1,3.75,2.63
270,Sweet Potatoes,3.75,1,3.75,2.63
271,Savoy,1.3,1,1.30,0.91
272,PLU,0,1,0.00,0.00
273,PLU,0,1,0.00,0.00
274,PLU,0,1,0.00,0.00
275,PLU,0,1,0.00,0.00
276,Punnet cherry tomato,1.99,1,1.99,1.39
277,Medium Pumpkin,3.2,1,3.20,2.24
278,Large Pumpkin,3.75,1,3.75,2.63
280,PLU,0,1,0.00,0.00
281,PLU,0,1,0.00,0.00
282,Shallots,2.62,1,2.62,1.83
283,Brussel Sprouts Stalk,2.5,1,2.50,1.75
284,PLU,0,1,0.00,0.00
285,PLU,0,1,0.00,0.00
286,PLU,0,1,0.00,0.00
287,PLU,0,1,0.00,0.00
288,Spinach,2.5,1,2.50,1.75
289,PLU,0,1,0.00,0.00
290,PLU,0,1,0.00,0.00
291,PLU,0,1,0.00,0.00
292,PLU,0,1,0.00,0.00
293,PLU,0,1,0.00,0.00
294,PLU,0,1,0.00,0.00
295,PLU,0,1,0.00,0.00
296,Swede,1.35,1,1.35,0.95
297,PLU,0,1,0.00,0.00
298,PLU,0,1,0.00,0.00
299,PLU,0,1,0.00,0.00
300,PLU,0,1,0.00,0.00
301,Cherry vine tomatoes,7.8,1,7.80,5.46
302,Cucumber,1.35,1,1.35,0.95
303,PLU,0,1,0.00,0.00
304,PLU,0,1,0.00,0.00
305,PLU,0,1,0.00,0.00
306,Spring Onions,0.9,1,0.90,0.63
307,PLU,0,1,0.00,0.00
308,Mushrooms,1.5,1,1.50,1.05
309,Vine Tomatoes,5.47,1,5.47,3.83
310,XL pumpkin,6.75,1,6.75,4.73
311,PLU,0,1,0.00,0.00
312,Celery,1.7,1,1.70,1.19
313,PLU,0,1,0.00,0.00
314,Little Gem Lettuce,1.6,1,1.60,1.12
315,PLU,0,1,0.00,0.00
316,PLU,0,1,0.00,0.00
317,Mr F S C Nuts 75g,1,3,0.83,0.58
318,Hot Choccy Bombe,3.99,3,3.33,2.33
319,Popti Oat Crackers,2.95,1,2.95,2.07
320,Peanut Butter Winter F&S,1,1,1.00,0.70
321,Mr Filberts 40g,1.75,1,1.75,1.23
